,prompt_formality,prompt,prediction,language,model,size(B),id,formality,annotator,annotation_id,created_at,updated_at,lead_time
60,Neutral,There, seems to be a problem serving the request at this time. Please try again later.  are also two sets of keys - standard and reverse.,en,XGLM,2.9,40686.0,Formal,1.0,1316.0,2022-12-15T17:14:45.043731Z,2022-12-15T17:14:45.043731Z,15.237
61,Neutral,Do," this after the code has finished executing but the results are being written out. 
private void doAuctioneersStatsUpdateInCode_Clicked
protected void doAuctioneersStatsUpdateInCode_Clicked
protected void doAuctioneersStatsUpdateInCode_Clicked
protected void doAuctioneersStatsUpdateInCode_Clicked
protected void doAuctioneersStatsUpdateInCode_Clicked
protected void doAuctioneersStatsUpdateInCode_Clicked

A:

You should avoid this. Even though an asynchronous method has started it's asynchronous nature should not interfere with your main application. And you might lose some advantages of using async/await if you do so.
I would suggest you do something like this instead:
",en,BLOOM,7.1,40685.0,Incohesive,1.0,1315.0,2022-12-15T17:14:29.652916Z,2022-12-15T17:14:29.653914Z,5.965
62,Neutral,There, are no messages. Register Login _ Sign Up _ Help _ Uploader Activity _ FAQ _ Twitter _ Facebook _ Link To Us _ Contact Us,en,XGLM,2.9,40684.0,Incohesive,1.0,1314.0,2022-12-15T17:14:23.538412Z,2022-12-15T17:14:23.538412Z,2.519
63,Informal,"did you fell goog because i want to have sex, but you have to be"," gay"" haha. i have the sexiest voice... but it has nothing to do with my voice. i did this because i saw a comment a friend of mine had on her blog about her friend who liked to act like a girl. she said that if a guy really loved you, he would've found a way to make you happy no matter what you were. he would've taken you out and shown you love and support. i just felt a little dumb in writing it down in my book, but my heart said, ""yes"" so i went with it haha.",en,XGLM,7.5,40683.0,Informal,1.0,1313.0,2022-12-15T17:14:20.866167Z,2022-12-15T17:14:20.866167Z,4.035
64,Informal,"the people who are around you now, like your friends, should like you no matter"," what you look like or what your sex are. and yes, if a girl is attracted to you, so is a girl who doesn't even know your name yet.",en,XGLM,2.9,40682.0,Informal,1.0,1312.0,2022-12-15T17:14:16.638914Z,2022-12-15T17:14:16.638914Z,20.938
65,Neutral,This," was a good time last night... the other half was pretty good but not as good as you gave us.
You got me another one over there.
 is my son.
He has the scourge of our generation.
He's the future.
He'll be a king someday.
I hope he has everything that you deserve.
I also hope that he won't give it up just because he has to become like you.
They call me 'one of them'.
One of us.
Father, I wanted to join the army to be close to you.
Father, you let me go.
We have to fight.
You could have waited 'til I got to college and then joined us.
My mind always knew that you and I would",en,BLOOM,3.0,40681.0,Informal,1.0,1311.0,2022-12-15T17:13:55.548806Z,2022-12-15T17:13:55.548806Z,19.956
66,Informal,"did you fell goog because i want to have sex, but you have to be"," a muslim to have sex. and you dont need to tell me what i can and cannot do. and how you feel about the person you are going to marry. and i've seen some pretty great things on the internet, such as frogs in my garden.",en,XGLM,2.9,40680.0,Informal,1.0,1310.0,2022-12-15T17:13:35.448990Z,2022-12-15T17:13:35.449995Z,9.834
67,Informal,make sure you dont make her hate you just get your point across too her, so you dont have to get into the fights in the end. i am trying my best to tell you the best way so i hope you enjoy and dont forget to check out my videos and leave a like or subscribe if you like this type of video,en,XGLM,2.9,40679.0,Informal,1.0,1309.0,2022-12-15T17:13:25.460970Z,2022-12-15T17:13:25.460970Z,18.446
68,Informal,"if i am to ask, i'll then leave, stop the relationship and move on with"," my life
You still have to come out to them
Tell them the truth
You can't lie!
My life is at stake here
Why should i lie?
I can't lie to that guy!
Even if i wanted, i could never lie to him
I have to face the consequences
He'll be the first to notice
I won't let him see me for a whole day, so i'll have to stay in the room
I'll do it
Ok?
I'm gonna do it
Ok
I'm sorry
I made you come to this room
You mustn't cry
Don't cry
I'm not crying
I am not crying
I'm crying
It doesn't feel good
I am not crying
I'm crying...
It's really not good
",en,BLOOM,7.1,40678.0,Informal,1.0,1308.0,2022-12-15T17:12:50.886732Z,2022-12-15T17:12:55.262283Z,46.109
69,Formal,If you are dating the guy you love you need to get rid of your," friends who are in love. They are selfish and will only love you if you give them what they want. Advice on dating a girl with a busy schedule in a place to find advice articles, help videos, dating tips and more.",en,XGLM,7.5,40677.0,Informal,1.0,1307.0,2022-12-15T17:12:06.916761Z,2022-12-15T17:12:06.916761Z,364.305
70,Informal,may be becaues your name is freakgirl but if you show your face maybe not,. and i don't think your a freak. so shut up and be nice. and you will also be my favorite and a good friend.,en,XGLM,7.5,40676.0,Informal,1.0,1306.0,2022-12-15T17:06:02.123337Z,2022-12-15T17:06:02.123337Z,10.303
71,Formal,I have long black hair and both my husband and I are quite fond of," the texture and the way it looks. We usually keep it short because I don’t want my hair to get tangled, and even though it doesn’t, it still gets a bit of tangles from the way it is styled. So now that I can get my hair cut and cut in short styles, I am not using so many twists to secure my hair.
Before this year, I had some coloring done, but I didn’t really like it, so I decided to try to go natural. I thought that it would be a bad idea because I was a blonde for 15 years so I wasn’t so much into the idea of going darker. Since I started this year, I have discovered that I really like the way my hair",en,BLOOM,7.1,40675.0,Informal,1.0,1305.0,2022-12-15T17:05:51.654090Z,2022-12-15T17:05:51.654090Z,74.078
72,Informal,Oh and some because theyre thin and skinny and nowadays anorexic girls are a turn," off for many. Also not everyone wants to kiss with the girl theyve just laid eyes on. It is different for everyone..and for me, I don't want to kiss with the girl Ive only seen in the bathroom mirror..because the kiss was made a long time ago and the girl is not really worth kissing with anymore.",en,XGLM,2.9,40674.0,Informal,1.0,1304.0,2022-12-15T17:04:37.424734Z,2022-12-15T17:04:37.424734Z,62.465
73,Neutral,They,"'ll find me again and stop me.
Then I'm back with you.
It doesn't matter, I'll never leave you again.
- We'll help each other!
- I'll take care of you.
What do you mean?
I'm a coward.
I have nothing, just a life of nothing.
But I'm a man.
I'll teach you to be brave.
And you'll teach me?
I don't know how.
I won't ask you to go alone.
Not on your own again!
We'll have to work together!
I'll be your apprentice.
Go!
- Come back soon!
- I will.
And I'll take care of you.
Goodbye.
Awake, woman!
Get up and move!
- It's all right.
- Come on, move!
Get up!
",en,BLOOM,7.1,40673.0,Incohesive,1.0,1303.0,2022-12-15T17:03:34.792310Z,2022-12-15T17:03:34.792310Z,30.812
74,Neutral,She," felt the warmth of a hot chocolate on her cheek, and then the light flashed on her head, and there was the sound of a man in black, wearing a thick black leather suit, his black velvet hat, his black boots… Then the light fell, and with the flash came another noise. This was another man’s voice, and this voice was similar to the first one. They could hardly know who was talking. But both heard that from a distance, and both could see clearly. After a while, they heard an explosion, and there was another explosion. One man turned back and left, and the other man quickly came out to the front, and the room was still in silence… Suddenly, the whole house",en,BLOOM,3.0,40672.0,Formal,1.0,1302.0,2022-12-15T17:03:03.815389Z,2022-12-15T17:03:03.815389Z,26.68
75,Neutral,He, took a large step away from the podium and moved through the crowds toward the entrance that led to the stage. The lights were dimmed as he reached the entrance and the cameras turned toward the stage with a low-key focus on him. The words he was going to speak were the best part about the whole situation.,en,XGLM,7.5,40671.0,Formal,1.0,1301.0,2022-12-15T17:02:36.986014Z,2022-12-15T17:02:36.986014Z,10.72
76,Informal,If she will tell the administration i will be expelled coz its pakistan not america,"!! and this is my second year i will not get my degree and i will be the same as others, because i have a scholarship. so i am scared, and the next year there is a very important exam and i will have to pass.",en,BLOOM,3.0,40670.0,Informal,1.0,1300.0,2022-12-15T17:02:26.116895Z,2022-12-15T17:02:26.116895Z,5.017
